Gene_set;Term;Overlap;P-value;Adjusted P-value;Old P-value;Old Adjusted P-value;Odds Ratio;Combined Score;Genes
ARCHS4_Tissues;FETAL BRAIN;34/2316;0,743029155;0,999991104;0;0;0,899953744;0,267304257;"ROBO2;SH2D7;MAOB;ARX;CDCA7;MKI67;CLU;EGFR;RAP1GAP;ROBO1;CALB2;SCGN;KIF5C;DPYSL3;PBK;SOX9;NKX2-2;GALNT8;PRPH;EPHB3;HES6;UBE2C;FZD7;RIIAD1;ANK2;ETV1;PROX1;RGMB;MEIS2;ADRA2A;SLC6A8;NOVA1;INSM1;SCG2"
ARCHS4_Tissues;FETAL LUNG;34/2316;0,743029155;0,999991104;0;0;0,899953744;0,267304257;"RAB3B;REP15;HRCT1;MKI67;THBS1;EGFR;ROBO1;SELENBP1;FRZB;RAB26;CREB3L1;DPYSL3;PBK;CA7;TIMP3;STXBP6;SOX9;TRPM5;RUNX1T1;EPHB3;HES6;GALNT5;FZD7;ETV1;RGMB;MEIS2;ARHGAP24;CKAP4;FERMT1;SELENOM;VCAN;IL1RAPL1;AGTR1;CDK15"
ARCHS4_Tissues;MOTOR NEURON;34/2316;0,743029155;0,999991104;0;0;0,899953744;0,267304257;"ROBO2;SH2D7;ARX;RAP1GAP;ROBO1;CALB2;FRZB;KIF5C;DPYSL3;CHGB;NKX2-2;RUNX1T1;GALNT8;PRPH;EPHB3;CHGA;HES6;ABCC8;FZD7;RIIAD1;ANK2;PROX1;VWA5B2;RGMB;ISL1;MEIS2;SMOC2;SLC6A8;NOVA1;CPE;SCG3;INSM1;CD24;SCG2"
ARCHS4_Tissues;VASCULAR SMOOTH MUSCLE;34/2316;0,743029155;0,999991104;0;0;0,899953744;0,267304257;"COL17A1;PLXND1;TNFAIP3;HRCT1;GATA2;CXCL3;KRT86;THBS1;EGFR;ROBO1;FCRLA;IL1RL1;CREB3L1;DPYSL3;MUC12;TIMP3;IGFBP7;STXBP6;CDKN2B;GALNT5;CCL20;FZD7;ANO7;RGMB;ARHGAP24;CKAP4;FERMT1;SELENOM;VCAN;MT1A;SLC6A8;IL1B;LGR5;CDK15"
ARCHS4_Tissues;DENTATE GRANULE CELL;33/2316;0,797963558;0,999991104;0;0;0,870030783;0,196359291;"MAOB;REP15;MS4A8;LRMP;CLEC9A;KRT86;COL19A1;RAP1GAP;AQP1;KIF5C;CA7;STXBP6;CLCA4;INSL5;CHGB;GALNT8;LEFTY1;ABCC8;RIIAD1;DNAJC12;ANK2;PROX1;VWA5B2;SDCBP2;ARHGAP24;NOVA1;PPP1R1B;IL1RAPL1;SCG5;CPE;SCG3;LGR5;SCG2"
ARCHS4_Tissues;MAMMARY GLAND;33/2316;0,797963558;0,999991104;0;0;0,870030783;0,196359291;"MAOB;PLXND1;KRT86;ASCL2;AREG;RAP1GAP;SELENBP1;KRTCAP3;BEST4;AKR7A3;RAB26;MB;CA4;MYH14;SPDEF;PRPH;EPHB3;RNF43;AFAP1L2;CDKN2B;ABCC8;CMBL;VWA5B2;IL17RB;BATF;SVOPL;AZGP1;MLPH;BANK1;TFF1;RHOV;CD24;GPRC5C"
ARCHS4_Tissues;PLACENTA (BULK);33/2316;0,797963558;0,999991104;0;0;0,870030783;0,196359291;"RAB3B;COL17A1;SLC26A2;PLXND1;GATA2;MSLN;KRT86;AREG;THBS1;EGFR;RAP1GAP;IL1RL1;FRZB;TIMP3;CD14;IER5;PRPH;CDKN2B;CD163;ANXA1;HTR3E;KRT1;CYBB;ISL1;LYVE1;RNASE1;SMOC2;VCAN;AGTR1;S100P;RHOV;LGR5;C1QC"
ARCHS4_Tissues;DORSAL STRIATUM;32/2316;0,845572498;0,999991104;0;0;0,8403406;0,140959882;"C1QB;ROBO2;CEP126;MAOB;EGFR;RAP1GAP;AQP1;CALB2;KIF5C;SPOCK2;CA7;STXBP6;APOE;CLCA4;GALNT8;BCAS1;ABCC8;RIIAD1;ANK2;PROX1;VWA5B2;LYVE1;RNASE1;MEIS2;IL17RB;GPRIN3;SMOC2;PPP1R1B;IL1RAPL1;CPE;LGR5;SCG2"
ARCHS4_Tissues;INTESTINAL EPITHELIAL CELL;32/2316;0,845572498;0,999991104;0;0;0,8403406;0,140959882;"RAB3B;COL17A1;REP15;HRCT1;MSLN;THBS1;EGFR;CALB2;AKR7A3;CREB3L1;GNA11;PBK;MUC12;TIMP3;IGFBP7;TRPM5;CD177;AFAP1L2;CDKN2B;GALNT5;FZD7;RARRES2;ANO7;RGMB;SDCBP2;ARHGAP24;CKAP4;FERMT1;SLC6A8;MLPH;LGR5;CDK15"
ARCHS4_Tissues;NEURONAL PROGENITOR CELLS;32/2316;0,845572498;0,999991104;0;0;0,8403406;0,140959882;"LEF1;HMGB2;RPS4Y1;BRCA2;MKI67;ROBO1;SELENBP1;PTTG1;FRZB;KIF5C;DPYSL3;STMN1;PCLAF;FFAR4;PBK;TK1;RRM2;UBE2C;FZD7;TUBB;ANXA13;ANK2;ETV1;MEIS2;B3GNT6;NOVA1;CEACAM5;SCNN1A;SCG5;CPE;L1TD1;CD24"
ARCHS4_Tissues;PERICARDIUM;32/2316;0,845572498;0,999991104;0;0;0,8403406;0,140959882;"ADH1C;PLXND1;ITLN1;HRCT1;MSLN;THBS1;EGFR;AQP1;SELENBP1;SOCS3;IL1RL1;CREB3L1;TIMP3;IGFBP7;STXBP6;APOE;TRPM5;EPHB3;CDKN2B;CMA1;FZD7;RARRES2;TMEM61;MEIS2;ARHGAP24;FERMT1;SMOC2;SELENOM;PPP1R1B;IL1RAPL1;AGTR1;CDK15"
ARCHS4_Tissues;BONE MARROW (BULK TISSUE);31/2316;0,88542527;0,999991104;0;0;0,810880763;0,098673825;"CDCA7;HMGB2;CXCR4;LRMP;CLEC9A;RPS4Y1;GATA2;TYMS;AREG;TNFSF13B;CD79B;NEUROD1;HPGDS;CA1;PSTPIP2;TRBC2;C1QBP;STMN1;PCLAF;CTSG;CPA3;ANXA1;AKR1C3;SVOPL;CDK6;SELL;IL1B;CEACAM5;IMPDH2;KIT;EBPL"
ARCHS4_Tissues;CD34+ CELL;31/2316;0,88542527;0,999991104;0;0;0,810880763;0,098673825;"PTGER4;DERL3;CDCA7;HMGB2;CXCR4;LRMP;CLEC9A;RPS4Y1;GATA2;TYMS;AREG;TNFSF13B;CD79B;HPGDS;PSTPIP2;TRBC2;C1QBP;STMN1;CTSG;IGFBP7;CPA3;ANXA1;AKR1C3;BATF;SVOPL;CDK6;SELL;IL1B;IMPDH2;KIT;EBPL"
ARCHS4_Tissues;KUPFFER CELL;31/2316;0,88542527;0,999991104;0;0;0,810880763;0,098673825;"PLXND1;REP15;HRCT1;CXCL3;THBS1;EGFR;ROBO1;FCRLA;CALB2;CREB3L1;DPYSL3;PBK;TIMP3;IGFBP7;STXBP6;CD177;CDKN2B;GALNT5;FZD7;RARRES2;RGMB;ARHGAP24;CKAP4;FERMT1;SELENOM;VCAN;MT1A;IL1B;AGTR1;GPRC5C;CDK15"
ARCHS4_Tissues;MYOBLAST;31/2316;0,88542527;0,999991104;0;0;0,810880763;0,098673825;"RAB3B;CEP126;SLC26A2;RGS13;HRCT1;THBS1;EGFR;SPIB;PRDX4;ALDH1B1;CREB3L1;STMN1;CHP2;TIMP3;SH2D6;SLC12A2;IL32;GALNT5;ANXA1;TUBB;ANXA13;RGMB;ARHGAP24;CKAP4;SELENOM;VCAN;MT1A;CDK6;MLPH;DNASE1L3;CFTR"
ARCHS4_Tissues;THYROID (BULK TISSUE);31/2316;0,88542527;0,999991104;0;0;0,810880763;0,098673825;"COL17A1;RORC;KRT86;CLU;WFDC2;EGFR;RAP1GAP;AQP1;IL1RL1;TIMP3;MYH14;STXBP6;TRPM5;DUOX2;CTSB;AFAP1L2;RARRES2;VWA5B2;SDCBP2;ARHGAP24;FERMT1;SMOC2;SELENOM;MLPH;SLPI;TBC1D4;AGTR1;CPE;RHOV;CD24;GPRC5C"
ARCHS4_Tissues;TRACHEA (BULK TISSUE);31/2316;0,88542527;0,999991104;0;0;0,810880763;0,098673825;"COL17A1;ADH1C;REP15;MSLN;KRT86;THBS1;EGFR;IL1RL1;DMBT1;TIMP3;PI3;TRPM5;CLCA4;SPDEF;CD177;PRPH;EPHB3;CDKN2B;GALNT5;AKR1C3;TMEM61;RGMB;SDCBP2;FERMT1;VCAN;MT1A;SLPI;CEACAM6;LCN2;S100P;RHOV"
ARCHS4_Tissues;WHARTONS JELLY;31/2316;0,88542527;0,999991104;0;0;0,810880763;0,098673825;"RAB3B;COL17A1;REP15;HRCT1;CXCL3;THBS1;EGFR;DPYSL3;PBK;MUC12;TIMP3;IGFBP7;TK1;TRPM5;CDKN2B;GALNT5;RRM2;UBE2C;FZD7;ETV1;RGMB;MEIS2;ARHGAP24;CKAP4;FERMT1;SELENOM;VCAN;IL1B;IL1RAPL1;AGTR1;CDK15"
ARCHS4_Tissues;CHONDROCYTE;30/2316;0,917616335;0,999991104;0;0;0,781648869;0,067202974;"SERPINA1;MAOB;REP15;MKI67;CLU;THBS1;EGFR;IL1RL1;FRZB;CREB3L1;PBK;TIMP3;GALNT8;SMIM14;NXPE4;CDKN2B;GALNT5;ANXA1;CCL20;LYVE1;IL17RB;ARHGAP24;ADRA2A;FERMT1;SMOC2;SLPI;CD8B;AGTR1;CHI3L2;LGR5"
ARCHS4_Tissues;HUMAN EMBRYO;30/2316;0,917616335;0,999991104;0;0;0,781648869;0,067202974;"RAB3B;CDCA7;BRCA2;MKI67;TYMS;WFDC2;ROBO1;KRTCAP3;PTTG1;ALDH1B1;KIF5C;DPYSL3;PBK;TK1;RUNX1T1;LEFTY1;RRM2;UBE2C;FZD7;TUBB;RARRES2;ANK2;ETV1;VCAN;SLC6A8;SCNN1A;L1TD1;SCG3;CD24;FOXA3"
ARCHS4_Tissues;OLIGODENDROCYTE;29/2316;0,942681582;0,999991104;0;0;0,752642552;0,04442602;"SH2D7;REP15;HRCT1;MKI67;EGFR;RAP1GAP;ROBO1;DMBT1;KIF5C;DPYSL3;PBK;IGFBP7;SOX9;NKX2-2;PRPH;EPHB3;HES6;AFAP1L2;GALNT5;KLRC2;UBE2C;FZD7;ETV1;PROX1;RGMB;SMOC2;NOVA1;IL1RAPL1;LGR5"
ARCHS4_Tissues;SPERM;29/2316;0,942681582;0,999991104;0;0;0,752642552;0,04442602;"FCN1;SH2D7;ADH1C;KLK1;HHLA2;REP15;AQP8;DERL3;MSLN;KRT86;SMIM6;KRTCAP3;DMBT1;CA2;PBK;MUC12;TRPM5;SPDEF;GALNT8;PRPH;RIIAD1;PAX4;OTOP2;SDCBP2;FEV;CDHR5;LGR5;CFTR;CES1"
ARCHS4_Tissues;ASTROCYTE;28/2316;0,961474348;0,999991104;0;0;0,723859474;0,028438552;"REP15;HRCT1;MSLN;THBS1;EGFR;ROBO1;CALB2;CREB3L1;DPYSL3;PBK;TIMP3;IGFBP7;EPHB3;CDKN2B;GALNT5;FZD7;ETV1;RGMB;MEIS2;CKAP4;VCAN;SLC6A8;MLPH;AGTR1;CPE;LGR5;SCG2;CDK15"
ARCHS4_Tissues;CARDIAC MUSCLE FIBER;28/2316;0,961474348;0,999991104;0;0;0,723859474;0,028438552;"ITLN1;AQP1;ROBO1;FRZB;MB;DPYSL3;PBK;TIMP3;APOE;RUNX1T1;GALNT8;EPHB3;CDKN2B;GALNT5;FZD7;ANK2;ETV1;PROX1;ISL1;MEIS2;GPRIN3;FERMT1;SMOC2;VCAN;SLC6A8;TBC1D4;CPE;GPRC5C"
ARCHS4_Tissues;DENDRITIC CELL;28/2316;0,961474348;0,999991104;0;0;0,723859474;0,028438552;"SERPINA1;CD83;CXCR4;TNFAIP3;LRMP;CLEC9A;CST7;MSLN;ASCL2;AREG;LILRA4;TNFSF13B;IL4I1;LGALS2;C1QBP;CTLA4;TRGV4;FYB1;ANXA1;CYBB;CD2;FCER2;SELL;BANK1;GPR183;ID2;IRF8;DNASE1L3"
ARCHS4_Tissues;OVARY (BULK TISSUE);28/2316;0,961474348;0,999991104;0;0;0,723859474;0,028438552;"COL17A1;ADH1C;MAOB;LEF1;MSLN;WFDC2;AQP1;CALB2;TCL1A;TRPM5;PRPH;AFAP1L2;LEFTY1;RARRES2;TMEM61;PROX1;RGMB;LYVE1;RNASE1;MEIS2;SMOC2;SVOPL;RFX6;KIT;L1TD1;GPRC5C;LGR5;CDK15"
ARCHS4_Tissues;RESPIRATORY SMOOTH MUSCLE;28/2316;0,961474348;0,999991104;0;0;0,723859474;0,028438552;"ADH1C;MAOB;PLXND1;REP15;HRCT1;THBS1;EGFR;SELENBP1;SOCS3;CREB3L1;DPYSL3;TIMP3;CD177;EPHB3;CDKN2B;GALNT5;FZD7;RARRES2;AKR1C3;RGMB;ADRA2A;SELENOM;PPP1R1B;AGTR1;CHI3L2;CPE;CDK15;CES1"
ARCHS4_Tissues;SKELETAL MUSCLE SATELLITE CELL;28/2316;0,961474348;0,999991104;0;0;0,723859474;0,028438552;"REP15;HRCT1;CXCL3;EGFR;ROBO1;FCRLA;SOCS3;IL1RL1;RAB26;PBK;STXBP6;TRPM5;CDKN2B;GALNT5;CMA1;CCL20;AKR1C3;ANK2;ANO7;RGMB;ARHGAP24;FERMT1;MT1A;MLPH;AGTR1;CDHR5;CDK15;CES1"
ARCHS4_Tissues;FORESKIN FIBROBLAST;26/2316;0,984411832;0,999991104;0;0;0,666953853;0,010478473;"RAB3B;IFITM1;RPS4Y1;GATA2;THBS1;EGFR;ROBO1;SELENBP1;CREB3L1;MUC12;TIMP3;IGFBP7;TK1;SH2D6;CTSB;RUNX1T1;GALNT5;ANXA1;FZD7;RGMB;MEIS2;ARHGAP24;CKAP4;SELENOM;MLPH;CDK15"
ARCHS4_Tissues;HEPATIC STELLATE CELL;26/2316;0,984411832;0,999991104;0;0;0,666953853;0,010478473;"COL17A1;REP15;HRCT1;MKI67;CXCL3;MSLN;KRT86;ETS1;THBS1;EGFR;CALB2;CREB3L1;PBK;TIMP3;IGFBP7;TK1;SPDEF;GALNT5;UBE2C;FZD7;ANO7;RGMB;FERMT1;IL1B;IL1RAPL1;CDK15"
ARCHS4_Tissues;KIDNEY (BULK TISSUE);26/2316;0,984411832;0,999991104;0;0;0,666953853;0,010478473;"KLK1;CDCA7;HMGB2;GATA2;MKI67;TYMS;PRDX4;PTTG1;CA2;C1QBP;PBK;PLCE1;UGT2A3;TK1;RRM2;UBE2C;TUBB;DNAJC12;CMBL;PDZK1IP1;SLC6A8;ID2;IMPDH2;EBPL;SFXN1;RHOV"
ARCHS4_Tissues;HAIR FOLLICLE;25/2316;0,99064819;0,999991104;0;0;0,638826796;0,006002297;"ROBO2;COL17A1;PLXND1;LEF1;THBS1;EGFR;AQP1;ROBO1;SOCS3;CREB3L1;DPYSL3;TIMP3;TRPM5;EPHB3;CDKN2B;GALNT5;FZD7;ANK2;RGMB;ARHGAP24;FERMT1;VCAN;AGTR1;CDHR5;CDK15"
ARCHS4_Tissues;OSTEOBLAST;25/2316;0,99064819;0,999991104;0;0;0,638826796;0,006002297;"PLXND1;REP15;HRCT1;KRT86;THBS1;EGFR;FCRLA;CREB3L1;DPYSL3;PBK;TIMP3;IGFBP7;CDKN2B;GALNT5;FZD7;RGMB;ARHGAP24;CKAP4;FERMT1;SELENOM;VCAN;MLPH;AGTR1;LGR5;CDK15"
ARCHS4_Tissues;ENDOMETRIUM (BULK);23/2316;0,997032484;0,999991104;0;0;0,583213124;0,001733267;"NXPE4;AFAP1L2;SLC26A2;MAOB;MS4A8;GATA2;RGMB;MSLN;ARHGAP24;EGFR;ADRA2A;ROBO1;FERMT1;SMOC2;VCAN;SLPI;CREB3L1;TIMP3;IGFBP7;LGR5;CFTR;SLC18A2;RUNX1T1"
ARCHS4_Tissues;MELANOCYTE;23/2316;0,997032484;0,999991104;0;0;0,583213124;0,001733267;"ROBO2;HES6;LEF1;ANK2;ETV1;MKI67;ETS1;ARHGAP24;RAP1GAP;FCRLA;GPRIN3;SELENBP1;SLC6A8;MLPH;GNA11;KIT;IL1RAPL1;PBK;TIMP3;IGFBP7;STXBP6;APOE;CDK15"
ARCHS4_Tissues;MORULA;23/2316;0,997032484;0,999991104;0;0;0,583213124;0,001733267;"RRM2;HHLA2;UBE2C;HDC;RARRES2;HTR3E;RIIAD1;WFDC2;COL19A1;SVOPL;TCL1A;SLC6A8;PTTG1;C1QBP;IL1RAPL1;PBK;L1TD1;STXBP6;MS4A12;TK1;INSM1;PLPP2;PRPH"
ARCHS4_Tissues;PREADIPOCYTE;22/2316;0,998435895;0,999991104;0;0;0,555722174;0,000869888;"CDKN2B;REP15;AKR1C3;ANK2;ETV1;RGMB;BRCA2;MKI67;ARHGAP24;EGFR;ROBO1;FERMT1;VCAN;MT1A;RAB26;AGTR1;PBK;CDHR5;STXBP6;TK1;TRPM5;CDK15"
ARCHS4_Tissues;STROMAL CELL;20/2316;0,999621912;0,999991104;0;0;0,501361423;0,000189594;"CDKN2B;GALNT5;PLXND1;REP15;FZD7;HRCT1;ANO7;RGMB;THBS1;ARHGAP24;EGFR;FERMT1;SELENOM;MT1A;CREB3L1;AGTR1;TIMP3;STXBP6;CDK15;EPHB3"
ARCHS4_Tissues;BLOOD DENDRITIC CELLS;19/2316;0,999826224;0,999991104;0;0;0,474487457;8,25E-05;"SMIM14;FYB1;ANXA1;CXCR4;LRMP;CLEC9A;CST7;AREG;TNFSF13B;CD2;SULT1B1;LGALS2;SELL;BANK1;GPR183;ID2;C1QBP;IRF8;DNASE1L3"
ARCHS4_Tissues;RETINA;17/2316;0,999965896;0,999991104;0;0;0,421342137;1,44E-05;"ROBO2;RIIAD1;ANK2;PROX1;MSLN;KRT86;ISL1;MEIS2;EGFR;RAP1GAP;CALB2;FRZB;MB;DPYSL3;CPE;LGR5;PRPH"
ARCHS4_Tissues;BLASTOCYST;16/2316;0,999983984;0,999991104;0;0;0,39506678;6,33E-06;"SH2D7;RRM2;HHLA2;UBE2C;RGS13;ANO7;GATA2;KRTCAP3;SLC6A8;CA2;IL1RAPL1;CHI3L2;L1TD1;STXBP6;RHOV;TK1"
ARCHS4_Tissues;TESTIS (BULK TISSUE);15/2316;0,999991104;0,999991104;0;0;0,368987;3,28E-06;"CHGA;COL17A1;RORC;OTOP2;VWA5B2;RNASE1;CLU;EGFR;SMOC2;AZGP1;KIF5C;SPOCK2;TIMP3;CPE;PRPH"
